Date,Open,High,Low,Close,Volume,Adj Close
2008-02-20,3094.25,3094.51,3019.44,3026.83,000,3026.83
2008-02-19,3100.26,3126.44,3098.06,3098.06,000,3098.06
2008-02-15,3007.86,3094.60,3002.53,3088.68,000,3088.68
2008-02-14,3026.73,3049.01,3019.79,3045.59,000,3045.59
2008-02-13,2976.09,2991.92,2945.03,2949.54,000,2949.54
2008-02-12,2888.54,2926.23,2887.06,2926.23,000,2926.23
2008-02-11,2931.97,2931.97,2859.08,2868.29,000,2868.29
2008-02-06,2954.47,2954.47,2917.66,2931.97,000,2931.97
2008-02-05,3069.29,3070.44,3037.18,3038.42,000,3038.42
2008-02-04,3007.80,3102.18,3007.80,3077.08,000,3077.08
2008-02-01,3015.90,3017.54,2963.19,3007.80,000,3007.80
2008-01-31,2989.32,3036.77,2976.65,2981.75,000,2981.75
2008-01-30,3051.82,3072.90,2984.69,3000.03,000,3000.03
2008-01-29,3092.60,3099.44,3036.86,3049.90,000,3049.90
2008-01-28,3159.48,3159.48,3004.76,3041.06,000,3041.06
2008-01-25,3121.26,3168.23,3112.75,3159.48,000,3159.48
2008-01-24,3055.76,3131.71,3043.03,3050.09,000,3050.09
2008-01-09,3298.57,3359.43,3292.85,3344.53,270165500,3344.53
2008-01-08,3359.58,3372.42,3335.97,3338.27,189930700,3338.27
2008-01-07,3374.95,3385.53,3348.28,3353.06,215526700,3353.06
2008-01-04,3374.09,3437.79,3357.72,3437.79,175398600,3437.79
2008-01-03,3413.50,3425.06,3387.92,3397.06,169723300,3397.06
2008-01-02,3462.69,3474.90,3439.55,3461.22,104777200,3461.22
2007-12-31,3424.48,3482.30,3424.48,3482.30,205741900,3482.30
2007-12-28,3452.18,3463.38,3441.96,3445.82,109442100,3445.82
2007-12-27,3469.11,3491.65,3459.97,3477.20,91474200,3477.20
2007-12-26,3452.68,3479.17,3447.72,3473.21,68799600,3473.21
2007-12-24,3449.52,3452.01,3433.64,3434.53,74347200,3434.53
2007-12-21,3379.71,3421.49,3373.35,3398.10,250422800,3398.10
2007-12-19,3382.72,3410.99,3357.34,3357.34,234577500,3357.34
2007-12-18,3301.42,3375.91,3300.86,3369.31,260335000,3369.31
2007-12-17,3417.08,3430.38,3353.56,3353.56,220503000,3353.56
2007-12-14,3490.09,3495.06,3424.34,3466.38,187104200,3466.38
2007-12-13,3553.88,3560.86,3470.83,3479.31,211824400,3479.31
2007-12-12,3516.56,3557.87,3509.70,3549.25,172372300,3549.25
2007-12-11,3583.32,3596.57,3558.91,3589.03,204733900,3589.03
2007-12-10,3558.55,3574.53,3516.15,3553.08,202829300,3553.08
2007-12-07,3615.85,3621.84,3549.51,3557.95,241997300,3557.95
2007-12-06,3594.73,3615.68,3552.55,3552.55,292931800,3552.55
2007-12-05,3513.62,3568.81,3498.46,3560.05,228756200,3560.05
2007-12-04,3503.40,3535.91,3500.50,3527.87,187731300,3527.87
2007-12-03,3549.47,3570.75,3521.56,3521.56,270914000,3521.56
2007-11-30,3498.52,3536.91,3496.10,3521.27,515052900,3521.27
2007-11-29,3450.70,3481.06,3446.76,3478.22,290621000,3478.22
2007-11-28,3395.62,3397.06,3362.47,3369.72,197881200,3369.72
2007-11-27,3344.57,3404.91,3329.28,3372.64,284678200,3372.64
2007-11-26,3365.64,3423.09,3364.94,3418.58,241808800,3418.58
2007-11-23,3339.27,3341.59,3311.16,3325.89,157844100,3325.89
2007-11-22,3316.37,3374.30,3306.53,3312.88,215474900,3312.88
2007-11-21,3416.07,3434.50,3340.70,3347.20,262892800,3347.20
2007-11-20,3350.69,3462.46,3322.94,3438.27,000,3438.27
2007-11-19,3454.70,3464.51,3409.56,3411.72,155381100,3411.72
2007-11-16,3438.33,3453.98,3405.86,3440.96,272423700,3440.96
2007-11-15,3519.69,3525.27,3477.59,3477.59,205627800,3477.59
2007-11-14,3548.91,3552.21,3518.59,3524.91,255078600,3524.91
2007-11-13,3495.71,3518.46,3433.80,3475.47,275019100,3475.47
2007-11-12,3531.23,3532.74,3483.18,3511.12,280710100,3511.12
2007-11-09,3614.92,3632.76,3580.36,3599.67,328336100,3599.67
2007-11-07,3709.40,3719.56,3664.72,3673.01,278494500,3673.01
2007-11-06,3670.92,3704.16,3660.81,3683.10,258379000,3683.10
2007-11-05,3711.04,3716.27,3635.18,3670.18,224098800,3670.18
2007-11-02,3733.44,3746.98,3695.94,3715.32,260029800,3715.32
2007-11-01,3837.77,3842.95,3796.93,3803.56,259617700,3803.56
2007-10-31,3818.92,3818.92,3779.45,3805.70,342616400,3805.70
2007-10-30,3806.36,3807.49,3785.02,3798.45,359437800,3798.45
2007-10-29,3786.04,3829.91,3784.00,3819.78,279499300,3819.78
2007-10-26,3747.10,3782.04,3730.31,3771.55,318388000,3771.55
2007-10-25,3691.02,3707.56,3654.14,3707.14,269194000,3707.14
2007-10-24,3719.97,3735.11,3649.12,3649.12,330331800,3649.12
2007-10-23,3670.21,3695.30,3646.21,3695.30,331948700,3695.30
2007-10-22,3654.86,3677.39,3632.98,3642.64,236711300,3642.64
2007-10-19,3779.04,3790.55,3714.88,3747.98,216766400,3747.98
2007-10-18,3856.03,3865.84,3802.03,3809.69,213654200,3809.69
2007-10-17,3793.60,3839.73,3735.39,3839.73,304074000,3839.73
2007-10-16,3826.81,3856.36,3788.88,3810.72,276034300,3810.72
2007-10-15,3886.93,3889.68,3852.69,3862.02,193322000,3862.02
2007-10-12,3852.56,3864.02,3828.45,3857.25,197455000,3857.25
2007-10-11,3821.60,3897.10,3821.22,3875.77,277223600,3875.77
2007-10-10,3899.29,3906.16,3814.45,3814.45,264813300,3814.45
2007-10-09,3854.53,3865.75,3812.87,3865.75,223102700,3865.75
2007-10-08,3860.60,3883.34,3817.34,3820.31,279660800,3820.31
